AGENCY_AREA,REPORTING_AREA,SITE_ID,SAMPLE_ID,SAMPLE_TYPE,SAMPLE_METHOD,ANALYSIS_ID,ANALYSIS_TYPE,ANALYSIS_METHOD,TAXON_LIST_ITEM_KEY,TOTAL_ABUNDANCE,ABUNDANCE_CATEGORY,WATERBODY_TYPE
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149509,SP,S3PO,117343,LABP,ANLE,NBNSYS0100050057,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149509,SP,S3PO,117343,LABP,ANLE,NBNSYS0100052557,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149509,SP,S3PO,117343,LABP,ANLE,NBNSYS0100052711,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149818,SP,S3PO,117719,LABP,ANLE,NBNSYS0100042293,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149818,SP,S3PO,117719,LABP,ANLE,NBNSYS0100043397,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149818,SP,S3PO,117719,LABP,ANLE,NBNSYS0100044698,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149818,SP,S3PO,117719,LABP,ANLE,NBNSYS0100045553,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149818,SP,S3PO,117719,LABP,ANLE,NBNSYS0100046516,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149818,SP,S3PO,117719,LABP,ANLE,NBNSYS0100050057,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149818,SP,S3PO,117719,LABP,ANLE,NBNSYS0100051818,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149818,SP,S3PO,117719,LABP,ANLE,NBNSYS0100052557,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149818,SP,S3PO,117719,LABP,ANLE,NBNSYS0100052711,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149818,SP,S3PO,117719,LABP,ANLE,NBNSYS0100054071,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149971,SP,S3PO,117913,LABP,ANLE,NBNSYS0100043397,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149971,SP,S3PO,117913,LABP,ANLE,NBNSYS0100045553,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149971,SP,S3PO,117913,LABP,ANLE,NBNSYS0100046516,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149971,SP,S3PO,117913,LABP,ANLE,NBNSYS0100047384,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149971,SP,S3PO,117913,LABP,ANLE,NBNSYS0100050057,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149971,SP,S3PO,117913,LABP,ANLE,NBNSYS0100052557,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,149971,SP,S3PO,117913,LABP,ANLE,NBNSYS0100052711,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,177179,SP,S3PO,118397,LABP,ANLE,NBNSYS0100043397,333,C,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,177179,SP,S3PO,118397,LABP,ANLE,NBNSYS0100050057,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,177179,SP,S3PO,118397,LABP,ANLE,NBNSYS0100052711,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100042293,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100043397,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100045553,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100045634,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100045938,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100046516,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100046637,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100047010,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100047324,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100047384,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100048041,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100048111,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100050057,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100050238,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,150563,SP,S3PO,141787,LABP,ANLE,NBNSYS0100052711,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,170577,SP,S3PO,118825,LABP,ANLE,NBNSYS0100043196,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,170577,SP,S3PO,118825,LABP,ANLE,NBNSYS0100043397,333,C,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,170577,SP,S3PO,118825,LABP,ANLE,NBNSYS0100044037,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,170577,SP,S3PO,118825,LABP,ANLE,NBNSYS0100044698,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,170577,SP,S3PO,118825,LABP,ANLE,NBNSYS0100046516,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,170577,SP,S3PO,118825,LABP,ANLE,NBNSYS0100046637,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,170577,SP,S3PO,118825,LABP,ANLE,NBNSYS0100047324,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,170577,SP,S3PO,118825,LABP,ANLE,NBNSYS0100050057,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,170577,SP,S3PO,118825,LABP,ANLE,NBNSYS0100052557,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,170577,SP,S3PO,118825,LABP,ANLE,NBNSYS0100052711,33,B,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100042293,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100042296,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100043397,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100045288,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100045936,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100045938,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100046516,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100046524,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100046635,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100046637,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100047384,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100048272,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100050057,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100051044,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100051510,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100052711,2,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,175200,SP,S3PO,119170,LABP,ANLE,NBNSYS0100052713,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,151484,SP,S3PO,143230,LABP,ANLE,NBNSYS0100043397,333,C,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,151484,SP,S3PO,143230,LABP,ANLE,NBNSYS0100046516,,,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,151484,SP,S3PO,143230,LABP,ANLE,NBNSYS0100046524,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,151484,SP,S3PO,143230,LABP,ANLE,NBNSYS0100046637,3,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,151484,SP,S3PO,143230,LABP,ANLE,NBNSYS0100046684,1,A,WBRV
ANGLIAN - CENTRAL,EAST ANGLIA - WEST,56182,151484,SP,S3PO,143230,LABP,ANLE,NBNSYS0100047434,1,A,WBRV
